351;12:42:25:460;815.00;1215.75
352;12:42:35:460;813.00;1218.60
353;12:42:45:460;796.00;1244.95
354;12:42:55:460;840.50;1178.33
355;12:43:05:460;873.50;1133.75
356;12:43:15:460;885.20;1118.40
357;12:43:25:460;894.00;1107.32
358;12:43:35:460;853.20;1160.65
359;12:43:45:460;903.80;1095.22
360;12:43:55:460;878.20;1127.23
361;12:44:05:461;888.62;1113.86
362;12:44:15:460;873.97;1132.99
363;12:44:25:460;867.10;1142.01
364;12:44:35:460;871.10;1136.58
365;12:44:45:460;888.30;1114.32
366;12:44:55:460;860.90;1150.30
367;12:45:05:460;878.00;1127.59
368;12:45:15:460;852.00;1162.28
369;12:45:25:460;891.60;1110.36
370;12:45:35:460;904.40;1094.40
371;12:45:45:460;856.90;1155.50
372;12:45:55:460;869.90;1138.46
373;12:46:05:460;874.30;1132.45
374;12:46:15:459;878.50;1127.03
375;12:46:25:460;881.40;1123.35
376;12:46:35:460;880.00;1125.06
377;12:46:45:460;882.50;1121.84
378;12:46:55:462;897.40;1103.40
379;12:47:05:460;883.60;1120.14
380;12:47:15:460;889.50;1113.00
381;12:47:25:460;878.40;1127.19
382;12:47:35:460;869.90;1138.09
383;12:47:45:460;803.60;1233.04
384;12:47:55:460;821.40;1206.14
385;12:48:05:460;876.70;1129.30
386;12:48:15:460;891.70;1110.32
387;12:48:25:460;895.20;1105.75
388;12:48:35:460;855.00;1158.41
389;12:48:45:460;875.80;1130.60
390;12:48:55:460;898.70;1101.30
391;12:49:05:460;888.20;1114.55
392;12:49:15:460;839.90;1179.37
393;12:49:25:460;899.70;1100.02
394;12:49:35:460;883.00;1121.00
395;12:49:45:460;875.50;1130.88
396;12:49:55:460;874.50;1132.19
397;12:50:05:460;860.00;1151.48
398;12:50:15:460;865.70;1143.78
399;12:50:25:460;818.00;1211.06
400;12:50:35:460;808.10;1225.96
401;12:50:45:460;822.60;1204.34
402;12:50:55:460;808.50;1225.37
403;12:51:05:460;891.10;1110.96
404;12:51:15:461;841.20;1177.52
405;12:51:25:460;822.30;1204.46
406;12:51:35:460;855.10;1158.09
407;12:51:45:460;846.00;1170.65
408;12:51:55:460;811.20;1220.98
409;12:52:05:460;872.80;1134.39
410;12:52:15:460;884.30;1119.65
411;12:52:25:460;852.30;1159.00
412;12:52:35:460;794.20;1250.87
413;12:52:45:460;820.70;1207.18
414;12:52:55:460;785.60;1261.72
415;12:53:05:460;874.10;1132.77
416;12:53:15:460;885.20;1118.31
417;12:53:25:460;841.70;1176.73
418;12:53:35:460;859.00;1152.89
419;12:53:45:460;875.60;1130.73
420;12:53:55:460;862.10;1148.63
421;12:54:05:460;861.80;1149.22
422;12:54:15:460;852.50;1161.72
423;12:54:25:460;850.10;1164.95
424;12:54:35:460;899.40;1100.45
425;12:54:45:460;890.70;1111.39
426;12:54:55:460;837.70;1182.49
427;12:55:05:460;821.20;1206.44
428;12:55:15:460;811.90;1220.25
429;12:55:25:460;808.80;1225.07
430;12:55:35:460;851.40;1163.30
431;12:55:45:460;824.50;1201.60
432;12:55:55:460;829.50;1194.28
433;12:56:05:460;871.20;1136.52
434;12:56:15:460;855.60;1157.59
435;12:56:25:460;853.20;1160.65
436;12:56:35:460;889.70;1112.74
437;12:56:45:460;881.50;1123.02
438;12:56:55:460;881.50;1123.06
439;12:57:05:460;887.90;1115.21
440;12:57:15:460;911.90;1085.44
441;12:57:25:460;880.30;1124.63
442;12:57:35:460;864.40;1145.44
443;12:57:45:460;844.20;1173.32
444;12:57:55:460;843.70;1173.87
445;12:58:05:460;820.70;1207.22
446;12:58:15:460;856.70;1155.80
447;12:58:25:460;840.60;1178.27
448;12:58:35:460;848.30;1167.38
449;12:58:45:460;835.30;1186.00
450;12:58:55:460;899.90;1099.94
451;12:59:05:460;893.60;1107.78
452;12:59:15:460;859.80;1151.60
453;12:59:25:460;863.80;1146.42
454;12:59:35:460;884.70;1118.92
455;12:59:45:460;877.50;1128.52
456;12:59:55:460;873.20;1132.04
457;13:00:05:460;827.60;1199.01
458;13:00:15:460;800.90;1237.24
459;13:00:25:460;809.60;1223.82
460;13:00:35:460;796.30;1244.52
461;13:00:45:460;847.50;1168.45
462;13:00:55:460;864.30;1145.75
463;13:01:05:460;811.70;1220.48
464;13:01:15:460;796.20;1244.73
465;13:01:25:460;804.00;1232.45
466;13:01:35:460;813.20;1218.32
467;13:01:45:460;801.70;1235.79
468;13:01:55:460;784.90;1262.56
469;13:02:05:460;803.90;1232.56
470;13:02:15:460;793.50;1248.85
471;13:02:25:460;795.10;1246.10
472;13:02:35:460;858.10;1154.00
473;13:02:45:460;797.50;1242.41
474;13:02:55:460;800.90;1237.19
475;13:03:05:460;840.60;1178.30
476;13:03:15:460;876.10;1130.14
477;13:03:25:460;875.60;1130.74
478;13:03:35:460;886.50;1116.87
479;13:03:45:460;848.20;1167.55
480;13:03:55:460;865.40;1144.09
481;13:04:05:460;842.80;1175.26
482;13:04:15:460;865.10;1144.42
483;13:04:25:460;910.60;1086.89
484;13:04:35:460;853.40;1160.62
485;13:04:45:460;863.70;1146.41
486;13:04:55:460;898.10;1102.20
487;13:05:05:460;913.90;1082.90
488;13:05:15:460;842.50;1175.74
489;13:05:25:460;845.70;1171.17
490;13:05:35:460;809.80;1223.46
491;13:05:45:460;850.80;1164.03
492;13:05:55:460;884.70;1119.02
493;13:06:05:460;875.50;1131.05
494;13:06:15:460;904.20;1094.55
495;13:06:25:460;862.00;1148.72
496;13:06:35:460;878.90;1126.44
497;13:06:45:460;874.50;1132.29
498;13:06:55:460;868.90;1139.66
499;13:07:05:460;872.90;1134.28
500;13:07:15:460;854.80;1158.55
501;13:07:25:459;890.00;1112.19
502;13:07:35:460;873.50;1133.54
503;13:07:45:460;799.40;1239.45
504;13:07:55:460;798.70;1240.31
